Fish ID,Trial,Fish Species,Tank Position,Pair treatment,Fish length (mm),Fish weight (g),Pellets eaten per dyad 18C,Pellets eaten per fish 18C,Pellets by species 18C,First to feed (y/n) 18C,Feeding latency (s) 18C,Feeding latency censor 18C,Position at start 18C,Bumps 18C,Chases 18C,Pellets eaten per dyad 20C,Pellets eaten per fish 20C,Pellets by species 20C,First to feed (y/n) 20C,Feeding latency (s) 20C,Feeding latency censor 20C,Position at start 20C,Bumps 20C,Chases 20C,Pellets eaten per dyad 22C,Pellets eaten per fish 22C,Pellets by Species 22C,First to feed (y/n) 22C,Feeding latency (s) 22C,Feeding latency censor 22C,Position at start 22C,Bumps 22C,Chases 22C
T6BT1Mid2BB,6,Brook Trout,Mid2,BB,194,65.4,14,7,,,3,Uncensored,Bottom,0,0,15,7.5,,,22,Uncensored,Bottom,0,0,5,2.5,,,7,Uncensored,Bottom,0,0
T6BT2Mid2BB,6,Brook Trout,Mid2,BB,191,71.2,14,7,,,3,Uncensored,Hide,0,0,15,7.5,,,22,Uncensored,Bottom,0,0,5,2.5,,,300,Censored,Hide,0,0
T6BT1Bot3BB,6,Brook Trout,Bot3,BB,198,72.2,14,7,,,22,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,12,6,,,7,Uncensored,Top,0,0
T6BT2Bot3BB,6,Brook Trout,Bot3,BB,202,74.3,14,7,,,22,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,12,6,,,7,Uncensored,Hide,0,0
T7BT1Bot1BB,7,Brook Trout,Bot1,BB,197,68.7,0,0,,,300,Censored,Bottom,0,0,15,7.5,,,2,Uncensored,Top,0,0,13,6.5,,,155,Uncensored,Bottom,0,0
T7BT2Bot1BB,7,Brook Trout,Bot1,BB,194,66.9,0,0,,,300,Censored,Hide,0,0,15,7.5,,,2,Uncensored,Bottom,0,0,13,6.5,,,155,Uncensored,Hide,0,0
T7BT1Mid2BB,7,Brook Trout,Mid2,BB,198,62.1,0,0,,,300,Censored,Hide,0,0,15,7.5,,,2,Uncensored,Bottom,0,0,15,7.5,,,1,Uncensored,Bottom,0,0
T7BT2Mid2BB,7,Brook Trout,Mid2,BB,200,76.7,0,0,,,300,Censored,Hide,0,0,15,7.5,,,2,Uncensored,Hide,0,0,15,7.5,,,1,Uncensored,Hide,0,0
T7BT1Top3BB,7,Brook Trout,Top3,BB,215,86.7,15,7.5,,,2,Uncensored,Top,7,5,15,7.5,,,2,Uncensored,Top,0,0,13,6.5,,,117,Uncensored,Top,0,0
T7BT2Top3BB,7,Brook Trout,Top3,BB,218,88.8,15,7.5,,,2,Uncensored,Bottom,7,5,15,7.5,,,2,Uncensored,Hide,0,0,13,6.5,,,117,Uncensored,Bottom,0,0
T1BTBot1BC,1,Brook Trout,Bot1,BC,157,35.3,14,7,8,y,1,Uncensored,Top,2,5,15,7.5,13,y,0,Uncensored,Bottom,1,7,15,7.5,12,y,1,Uncensored,Top,6,22
T1CCBot1BC,1,Creek Chub,Bot1,BC,156,35.8,14,7,6,n,32,Uncensored,Bottom,2,5,15,7.5,2,n,78,Uncensored,Bottom,1,7,15,7.5,3,n,40,Uncensored,Bottom,6,22
T1BTTop2BC,1,Brook Trout,Top2,BC,170,42.5,12,6,12,y,1,Uncensored,Top,0,0,9,4.5,9,y,5,Uncensored,Bottom,0,0,10,5,10,y,2,Uncensored,Top,0,0
T1CCTop2BC,1,Creek Chub,Top2,BC,171,49.9,0,0,0,n,300,Censored,Hide,0,0,9,4.5,0,n,300,Censored,Hide,0,0,10,5,0,n,300,Censored,Hide,0,0
T1BTMid3BC,1,Brook Trout,Mid3,BC,190,66.4,8,4,8,y,162,Uncensored,Top,0,0,11,5.5,11,y,2,Uncensored,Top,0,0,11,5.5,0,n,213,Uncensored,Hide,0,0
T1CCMid3BC,1,Creek Chub,Mid3,BC,185,53.6,8,4,0,n,300,Censored,Hide,0,0,11,5.5,0,n,300,Censored,Hide,0,0,11,5.5,11,y,300,Censored,Hide,0,0
T2BTMid1BC,2,Brook Trout,Mid1,BC,203,71.8,12,6,12,y,4,Uncensored,Top,0,0,11,5.5,6,n,29,Uncensored,Bottom,0,0,6,3,6,y,3,Uncensored,Bottom,0,0
T2CCMid1BC,2,Creek Chub,Mid1,BC,196,68.9,12,6,0,n,300,Censored,Bottom,0,0,11,5.5,5,y,3,Uncensored,Hide,0,0,6,3,0,n,300,Censored,Hide,0,0
T2BTBot2BC,2,Brook Trout,Bot2,BC,180,62.8,0,0,0,,300,Censored,Bottom,0,0,0,0,0,,300,Censored,Top,0,0,0,0,0,,300,Censored,Bottom,0,0
T2CCBot2BC,2,Creek Chub,Bot2,BC,182,54.1,,,,,,,,0,0,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T2BTTop3BC,2,Brook Trout,Top3,BC,170,45.5,0,0,,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Bottom,0,0
T2CCTop3BC,2,Creek Chub,Top3,BC,165,52.8,0,0,,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T3BTTop1BC,3,Brook Trout,Top1,BC,162,38.5,14,7,14,y,4,Uncensored,Top,0,0,11,5.5,11,y,53,Uncensored,Top,0,0,0,0,0,,300,Censored,Bottom,0,0
T3CCTop1BC,3,Creek Chub,Top1,BC,165,45,14,7,0,n,,Uncensored,Hide,0,0,11,5.5,0,n,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T3BTMid2BC,3,Brook Trout,Mid2,BC,164,45.9,13,6.5,10,y,1,Uncensored,Hide,0,9,10,5,10,y,2,Uncensored,Hide,0,0,6,3,6,y,3,Uncensored,Bottom,0,0
T3CCMid2BC,3,Creek Chub,Mid2,BC,170,48.3,13,6.5,3,n,82,Uncensored,Hide,0,9,10,5,,n,300,Censored,Hide,0,0,6,3,0,n,300,Censored,Hide,0,0
T3BTBot3BC,3,Brook Trout,Bot3,BC,156,35.1,6,3,0,n,300,Censored,Top,2,2,0,0,0,,300,Censored,Bottom,0,0,0,0,0,,300,Censored,Bottom,0,0
T3CCBot3BC,3,Creek Chub,Bot3,BC,160,48.3,6,3,6,y,250,Uncensored,Hide,2,2,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T4BTMid1BC,4,Brook Trout,Mid1,BC,188,54.9,6,3,4,y,3,Uncensored,Top,2,0,2,1,2,y,4,Uncensored,Top,0,0,8,4,2,n,150,Uncensored,Top,0,5
T4CCMid1BC,4,Creek Chub,Mid1,BC,187,55.2,6,3,2,n,258,Uncensored,Bottom,2,0,2,1,0,n,300,Censored,Hide,0,0,8,4,6,y,65,Uncensored,Bottom,0,5
T4BTBot2BC,4,Brook Trout,Bot2,BC,186,53.6,15,7.5,15,y,18,Uncensored,Bottom,0,0,15,7.5,11,y,2,Uncensored,Bottom,0,0,13,6.5,13,y,2,Uncensored,Top,0,0
T4CCBot2BC,4,Creek Chub,Bot2,BC,188,51.7,15,7.5,0,n,300,Censored,Hide,0,0,15,7.5,4,n,64,Uncensored,Hide,0,0,13,6.5,0,n,0,Uncensored,Hide,0,0
T4BTTop3BC,4,Brook Trout,Top3,BC,175,52.7,14,7,14,y,27,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,15,7.5,15,y,1,Uncensored,Bottom,0,0
T4CCTop3BC,4,Creek Chub,Top3,BC,180,49.8,14,7,0,n,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,15,7.5,0,n,300,Censored,Hide,0,0
T5BTBot1BC,5,Brook Trout,Bot1,BC,213,98.2,15,7.5,15,y,7,Uncensored,Top,0,0,13,6.5,13,,25,Uncensored,Bottom,0,0,13,6.5,,,3,Uncensored,Top,0,0
T5CCBot1BC,5,Creek Chub,Bot1,BC,209,86.9,15,7.5,0,n,300,Censored,Hide,0,0,13,6.5,0,,300,Censored,Hide,0,0,13,6.5,,,3,Uncensored,Hide,0,0
T5BTTop2BC,5,Brook Trout,Top2,BC,209,89.1,15,7.5,15,y,2,Uncensored,Bottom,0,0,15,7.5,15,,2,Uncensored,Top,0,0,15,7.5,15,,2,Uncensored,Top,0,0
T5CCTop2BC,5,Creek Chub,Top2,BC,208,82.2,15,7.5,0,n,300,Censored,Hide,0,0,15,7.5,0,,300,Censored,Hide,0,0,15,7.5,0,,300,Censored,Hide,0,0
